# smlt_path=b11,gsimlt_path=b12_b22_b31,imt=SA,investigation_time=50.0,sa_period=2.0,sa_damping=5.0,lon=28.25,lat=36.85,poe=0.1,iml=0.1888716578
Mag,Dist,Eps,poe
5.25,5.0,-2.0,0.0
5.25,5.0,0.0,0.0
5.25,5.0,2.0,4.600149913e-05
5.25,15.0,-2.0,0.0
5.25,15.0,0.0,0.0
5.25,15.0,2.0,0.0
5.25,25.0,-2.0,0.0
5.25,25.0,0.0,0.0
5.25,25.0,2.0,0.0
5.25,35.0,-2.0,0.0
5.25,35.0,0.0,0.0
5.25,35.0,2.0,0.0
5.25,45.0,-2.0,0.0
5.25,45.0,0.0,0.0
5.25,45.0,2.0,0.0
5.25,55.0,-2.0,0.0
5.25,55.0,0.0,0.0
5.25,55.0,2.0,0.0
5.25,65.0,-2.0,0.0
5.25,65.0,0.0,0.0
5.25,65.0,2.0,0.0
5.25,75.0,-2.0,0.0
5.25,75.0,0.0,0.0
5.25,75.0,2.0,0.0
5.25,85.0,-2.0,0.0
5.25,85.0,0.0,0.0
5.25,85.0,2.0,0.0
5.25,95.0,-2.0,0.0
5.25,95.0,0.0,0.0
5.25,95.0,2.0,0.0
5.25,105.0,-2.0,0.0
5.25,105.0,0.0,0.0
5.25,105.0,2.0,0.0
5.25,115.0,-2.0,0.0
5.25,115.0,0.0,0.0
5.25,115.0,2.0,0.0
5.25,125.0,-2.0,0.0
5.25,125.0,0.0,0.0
5.25,125.0,2.0,0.0
5.25,135.0,-2.0,0.0
5.25,135.0,0.0,0.0
5.25,135.0,2.0,0.0
5.25,145.0,-2.0,0.0
5.25,145.0,0.0,0.0
5.25,145.0,2.0,0.0
5.25,155.0,-2.0,0.0
5.25,155.0,0.0,0.0
5.25,155.0,2.0,0.0
5.25,165.0,-2.0,0.0
5.25,165.0,0.0,0.0
5.25,165.0,2.0,0.0
5.25,175.0,-2.0,0.0
5.25,175.0,0.0,0.0
5.25,175.0,2.0,0.0
5.25,185.0,-2.0,0.0
5.25,185.0,0.0,0.0
5.25,185.0,2.0,0.0
5.25,195.0,-2.0,0.0
5.25,195.0,0.0,0.0
5.25,195.0,2.0,0.0
5.75,5.0,-2.0,0.0
5.75,5.0,0.0,0.0
5.75,5.0,2.0,0.003737933995
5.75,15.0,-2.0,0.0
5.75,15.0,0.0,0.0
5.75,15.0,2.0,0.0003927132824
5.75,25.0,-2.0,0.0
5.75,25.0,0.0,0.0
5.75,25.0,2.0,1.491440532e-05
5.75,35.0,-2.0,0.0
5.75,35.0,0.0,0.0
5.75,35.0,2.0,0.0
5.75,45.0,-2.0,0.0
5.75,45.0,0.0,0.0
5.75,45.0,2.0,0.0
5.75,55.0,-2.0,0.0
5.75,55.0,0.0,0.0
5.75,55.0,2.0,0.0
5.75,65.0,-2.0,0.0
5.75,65.0,0.0,0.0
5.75,65.0,2.0,0.0
5.75,75.0,-2.0,0.0
5.75,75.0,0.0,0.0
5.75,75.0,2.0,0.0
5.75,85.0,-2.0,0.0
5.75,85.0,0.0,0.0
5.75,85.0,2.0,0.0
5.75,95.0,-2.0,0.0
5.75,95.0,0.0,0.0
5.75,95.0,2.0,0.0
5.75,105.0,-2.0,0.0
5.75,105.0,0.0,0.0
5.75,105.0,2.0,0.0
5.75,115.0,-2.0,0.0
5.75,115.0,0.0,0.0
5.75,115.0,2.0,0.0
5.75,125.0,-2.0,0.0
5.75,125.0,0.0,0.0
5.75,125.0,2.0,0.0
5.75,135.0,-2.0,0.0
5.75,135.0,0.0,0.0
5.75,135.0,2.0,0.0
5.75,145.0,-2.0,0.0
5.75,145.0,0.0,0.0
5.75,145.0,2.0,0.0
5.75,155.0,-2.0,0.0
5.75,155.0,0.0,0.0
5.75,155.0,2.0,0.0
5.75,165.0,-2.0,0.0
5.75,165.0,0.0,0.0
5.75,165.0,2.0,0.0
5.75,175.0,-2.0,0.0
5.75,175.0,0.0,0.0
5.75,175.0,2.0,0.0
5.75,185.0,-2.0,0.0
5.75,185.0,0.0,0.0
5.75,185.0,2.0,0.0
5.75,195.0,-2.0,0.0
5.75,195.0,0.0,0.0
5.75,195.0,2.0,0.0
6.25,5.0,-2.0,0.0
6.25,5.0,0.0,0.004082969371
6.25,5.0,2.0,0.007042068856
6.25,15.0,-2.0,0.0
6.25,15.0,0.0,4.872028277e-06
6.25,15.0,2.0,0.003620043109
6.25,25.0,-2.0,0.0
6.25,25.0,0.0,0.0
6.25,25.0,2.0,0.002558782126
6.25,35.0,-2.0,0.0
6.25,35.0,0.0,0.0
6.25,35.0,2.0,0.0002842862534
6.25,45.0,-2.0,0.0
6.25,45.0,0.0,0.0
6.25,45.0,2.0,2.268786444e-05
6.25,55.0,-2.0,0.0
6.25,55.0,0.0,0.0
6.25,55.0,2.0,4.715802623e-06
6.25,65.0,-2.0,0.0
6.25,65.0,0.0,0.0
6.25,65.0,2.0,0.0
6.25,75.0,-2.0,0.0
6.25,75.0,0.0,0.0
6.25,75.0,2.0,0.0
6.25,85.0,-2.0,0.0
6.25,85.0,0.0,0.0
6.25,85.0,2.0,0.0
6.25,95.0,-2.0,0.0
6.25,95.0,0.0,0.0
6.25,95.0,2.0,0.0
6.25,105.0,-2.0,0.0
6.25,105.0,0.0,0.0
6.25,105.0,2.0,0.0
6.25,115.0,-2.0,0.0
6.25,115.0,0.0,0.0
6.25,115.0,2.0,0.0
6.25,125.0,-2.0,0.0
6.25,125.0,0.0,0.0
6.25,125.0,2.0,0.0
6.25,135.0,-2.0,0.0
6.25,135.0,0.0,0.0
6.25,135.0,2.0,0.0
6.25,145.0,-2.0,0.0
6.25,145.0,0.0,0.0
6.25,145.0,2.0,0.0
6.25,155.0,-2.0,0.0
6.25,155.0,0.0,0.0
6.25,155.0,2.0,0.0
6.25,165.0,-2.0,0.0
6.25,165.0,0.0,0.0
6.25,165.0,2.0,0.0
6.25,175.0,-2.0,0.0
6.25,175.0,0.0,0.0
6.25,175.0,2.0,0.0
6.25,185.0,-2.0,0.0
6.25,185.0,0.0,0.0
6.25,185.0,2.0,0.0
6.25,195.0,-2.0,0.0
6.25,195.0,0.0,0.0
6.25,195.0,2.0,0.0
6.75,5.0,-2.0,0.0
6.75,5.0,0.0,0.004504749944
6.75,5.0,2.0,0.002726643606
6.75,15.0,-2.0,0.0
6.75,15.0,0.0,0.000468192076
6.75,15.0,2.0,0.002495857459
6.75,25.0,-2.0,0.0
6.75,25.0,0.0,0.0
6.75,25.0,2.0,0.004394651312
6.75,35.0,-2.0,0.0
6.75,35.0,0.0,0.0
6.75,35.0,2.0,0.0003624880424
6.75,45.0,-2.0,0.0
6.75,45.0,0.0,0.0
6.75,45.0,2.0,0.0003671319975
6.75,55.0,-2.0,0.0
6.75,55.0,0.0,0.0
6.75,55.0,2.0,9.626325724e-05
6.75,65.0,-2.0,0.0
6.75,65.0,0.0,0.0
6.75,65.0,2.0,5.736056242e-05
6.75,75.0,-2.0,0.0
6.75,75.0,0.0,0.0
6.75,75.0,2.0,4.517884785e-05
6.75,85.0,-2.0,0.0
6.75,85.0,0.0,0.0
6.75,85.0,2.0,2.959620289e-05
6.75,95.0,-2.0,0.0
6.75,95.0,0.0,0.0
6.75,95.0,2.0,1.258379938e-05
6.75,105.0,-2.0,0.0
6.75,105.0,0.0,0.0
6.75,105.0,2.0,4.827827646e-06
6.75,115.0,-2.0,0.0
6.75,115.0,0.0,0.0
6.75,115.0,2.0,6.396633138e-07
6.75,125.0,-2.0,0.0
6.75,125.0,0.0,0.0
6.75,125.0,2.0,0.0
6.75,135.0,-2.0,0.0
6.75,135.0,0.0,0.0
6.75,135.0,2.0,0.0
6.75,145.0,-2.0,0.0
6.75,145.0,0.0,0.0
6.75,145.0,2.0,0.0
6.75,155.0,-2.0,0.0
6.75,155.0,0.0,0.0
6.75,155.0,2.0,0.0
6.75,165.0,-2.0,0.0
6.75,165.0,0.0,0.0
6.75,165.0,2.0,0.0
6.75,175.0,-2.0,0.0
6.75,175.0,0.0,0.0
6.75,175.0,2.0,0.0
6.75,185.0,-2.0,0.0
6.75,185.0,0.0,0.0
6.75,185.0,2.0,0.0
6.75,195.0,-2.0,0.0
6.75,195.0,0.0,0.0
6.75,195.0,2.0,0.0
7.25,5.0,-2.0,0.0
7.25,5.0,0.0,0.003844296691
7.25,5.0,2.0,0.001354996395
7.25,15.0,-2.0,0.0
7.25,15.0,0.0,0.0006999124878
7.25,15.0,2.0,0.0007868757519
7.25,25.0,-2.0,0.0
7.25,25.0,0.0,0.0003269120045
7.25,25.0,2.0,0.003203212282
7.25,35.0,-2.0,0.0
7.25,35.0,0.0,0.0
7.25,35.0,2.0,0.0007178879144
7.25,45.0,-2.0,0.0
7.25,45.0,0.0,0.0
7.25,45.0,2.0,0.001417739352
7.25,55.0,-2.0,0.0
7.25,55.0,0.0,0.0
7.25,55.0,2.0,0.0007251420374
7.25,65.0,-2.0,0.0
7.25,65.0,0.0,0.0
7.25,65.0,2.0,0.0007108984454
7.25,75.0,-2.0,0.0
7.25,75.0,0.0,0.0
7.25,75.0,2.0,0.0006595938519
7.25,85.0,-2.0,0.0
7.25,85.0,0.0,0.0
7.25,85.0,2.0,0.0006598071768
7.25,95.0,-2.0,0.0
7.25,95.0,0.0,0.0
7.25,95.0,2.0,0.0005135428504
7.25,105.0,-2.0,0.0
7.25,105.0,0.0,0.0
7.25,105.0,2.0,0.0004034212748
7.25,115.0,-2.0,0.0
7.25,115.0,0.0,0.0
7.25,115.0,2.0,0.0003983988154
7.25,125.0,-2.0,0.0
7.25,125.0,0.0,0.0
7.25,125.0,2.0,0.0001757508647
7.25,135.0,-2.0,0.0
7.25,135.0,0.0,0.0
7.25,135.0,2.0,0.000184703159
7.25,145.0,-2.0,0.0
7.25,145.0,0.0,0.0
7.25,145.0,2.0,8.903041587e-05
7.25,155.0,-2.0,0.0
7.25,155.0,0.0,0.0
7.25,155.0,2.0,0.0001029945381
7.25,165.0,-2.0,0.0
7.25,165.0,0.0,0.0
7.25,165.0,2.0,3.586827291e-05
7.25,175.0,-2.0,0.0
7.25,175.0,0.0,0.0
7.25,175.0,2.0,5.05630855e-05
7.25,185.0,-2.0,0.0
7.25,185.0,0.0,0.0
7.25,185.0,2.0,2.379390935e-05
7.25,195.0,-2.0,0.0
7.25,195.0,0.0,0.0
7.25,195.0,2.0,2.743534913e-05
7.75,5.0,-2.0,5.813652018e-05
7.75,5.0,0.0,0.002819397299
7.75,5.0,2.0,0.000684975019
7.75,15.0,-2.0,0.0
7.75,15.0,0.0,6.884759876e-05
7.75,15.0,2.0,2.872208259e-05
7.75,25.0,-2.0,0.0
7.75,25.0,0.0,0.0008871409787
7.75,25.0,2.0,0.0008768708197
7.75,35.0,-2.0,0.0
7.75,35.0,0.0,1.258238778e-05
7.75,35.0,2.0,0.001423309332
7.75,45.0,-2.0,0.0
7.75,45.0,0.0,4.883082019e-05
7.75,45.0,2.0,0.001652212886
7.75,55.0,-2.0,0.0
7.75,55.0,0.0,4.472413618e-05
7.75,55.0,2.0,0.001245552979
7.75,65.0,-2.0,0.0
7.75,65.0,0.0,2.784670517e-05
7.75,65.0,2.0,0.001361579196
7.75,75.0,-2.0,0.0
7.75,75.0,0.0,1.038617125e-05
7.75,75.0,2.0,0.001055105688
7.75,85.0,-2.0,0.0
7.75,85.0,0.0,9.237159899e-07
7.75,85.0,2.0,0.00130679917
7.75,95.0,-2.0,0.0
7.75,95.0,0.0,0.0
7.75,95.0,2.0,0.0009279653949
7.75,105.0,-2.0,0.0
7.75,105.0,0.0,0.0
7.75,105.0,2.0,0.001013933546
7.75,115.0,-2.0,0.0
7.75,115.0,0.0,0.0
7.75,115.0,2.0,0.001058633116
7.75,125.0,-2.0,0.0
7.75,125.0,0.0,0.0
7.75,125.0,2.0,0.0005209414947
7.75,135.0,-2.0,0.0
7.75,135.0,0.0,0.0
7.75,135.0,2.0,0.000568169527
7.75,145.0,-2.0,0.0
7.75,145.0,0.0,0.0
7.75,145.0,2.0,0.0003736646609
7.75,155.0,-2.0,0.0
7.75,155.0,0.0,0.0
7.75,155.0,2.0,0.0004534333878
7.75,165.0,-2.0,0.0
7.75,165.0,0.0,0.0
7.75,165.0,2.0,0.0001757235838
7.75,175.0,-2.0,0.0
7.75,175.0,0.0,0.0
7.75,175.0,2.0,0.0003019245568
7.75,185.0,-2.0,0.0
7.75,185.0,0.0,0.0
7.75,185.0,2.0,0.0001038465035
7.75,195.0,-2.0,0.0
7.75,195.0,0.0,0.0
7.75,195.0,2.0,0.000199961028
8.25,5.0,-2.0,9.864883519e-05
8.25,5.0,0.0,0.0007825729644
8.25,5.0,2.0,0.0001803748362
8.25,15.0,-2.0,0.0
8.25,15.0,0.0,1.196042667e-06
8.25,15.0,2.0,6.938287884e-07
8.25,25.0,-2.0,0.0
8.25,25.0,0.0,0.0005603219012
8.25,25.0,2.0,0.000248534508
8.25,35.0,-2.0,0.0
8.25,35.0,0.0,0.001067437703
8.25,35.0,2.0,0.001729062531
8.25,45.0,-2.0,0.0
8.25,45.0,0.0,0.0006948780926
8.25,45.0,2.0,0.001173909823
8.25,55.0,-2.0,0.0
8.25,55.0,0.0,0.0005256159945
8.25,55.0,2.0,0.001091869794
8.25,65.0,-2.0,0.0
8.25,65.0,0.0,0.0005285637331
8.25,65.0,2.0,0.001413997767
8.25,75.0,-2.0,0.0
8.25,75.0,0.0,0.0001719064186
8.25,75.0,2.0,0.0006858471277
8.25,85.0,-2.0,0.0
8.25,85.0,0.0,0.0003607496847
8.25,85.0,2.0,0.001657409882
8.25,95.0,-2.0,0.0
8.25,95.0,0.0,4.344883176e-05
8.25,95.0,2.0,0.0005934339428
8.25,105.0,-2.0,0.0
8.25,105.0,0.0,0.0001220718826
8.25,105.0,2.0,0.001215746896
8.25,115.0,-2.0,0.0
8.25,115.0,0.0,0.0001031358632
8.25,115.0,2.0,0.001593741139
8.25,125.0,-2.0,0.0
8.25,125.0,0.0,6.912064776e-08
8.25,125.0,2.0,0.0003908501905
8.25,135.0,-2.0,0.0
8.25,135.0,0.0,5.680030943e-05
8.25,135.0,2.0,0.001100530112
8.25,145.0,-2.0,0.0
8.25,145.0,0.0,0.0
8.25,145.0,2.0,0.0002376387975
8.25,155.0,-2.0,0.0
8.25,155.0,0.0,1.12486632e-05
8.25,155.0,2.0,0.0008927623227
8.25,165.0,-2.0,0.0
8.25,165.0,0.0,0.0
8.25,165.0,2.0,0.0001238161174
8.25,175.0,-2.0,0.0
8.25,175.0,0.0,4.427103417e-07
8.25,175.0,2.0,0.000693198987
8.25,185.0,-2.0,0.0
8.25,185.0,0.0,0.0
8.25,185.0,2.0,3.95716377e-05
8.25,195.0,-2.0,0.0
8.25,195.0,0.0,0.0
8.25,195.0,2.0,0.0004355561704
